# Gene Family	concat_A09_Abundance-RPKs
UniRef90_A0A0R2HWC5	8486.6718809311
UniRef90_A0A0R2HWC5|g__Carnobacterium.s__Carnobacterium_divergens	8486.6718809311
UniRef90_B9E9K1	8484.3075052059
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_divergens	8484.3075052059
UniRef90_A0A0R2I6Z6	8438.6424491341
UniRef90_A0A0R2I6Z6|g__Carnobacterium.s__Carnobacterium_divergens	8438.6424491341
UniRef90_A0A0R2J9N5	8140.9498709239
UniRef90_A0A0R2J9N5|g__Carnobacterium.s__Carnobacterium_divergens	8140.9498709239
UniRef90_A0A0R2J719	7730.5247803442
UniRef90_A0A0R2J719|g__Carnobacterium.s__Carnobacterium_divergens	7730.5247803442
UniRef90_A0A0R2I4W6	7677.0567975356
UniRef90_A0A0R2I4W6|g__Carnobacterium.s__Carnobacterium_divergens	7677.0567975356
UniRef90_F4BR38	7648.4756612725
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	7648.4756612725
UniRef90_A0A0U3MDW1	7553.2719018844
UniRef90_A0A0U3MDW1|g__Carnobacterium.s__Carnobacterium_divergens	7553.2719018844
UniRef90_A0A0R2J234	7545.1415054807
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	7545.1415054807
UniRef90_O07125	7302.8874802466
UniRef90_O07125|g__Carnobacterium.s__Carnobacterium_divergens	7302.8874802466
UniRef90_A0A0R2HND5	6959.9642520032
UniRef90_A0A0R2HND5|g__Carnobacterium.s__Carnobacterium_divergens	6959.9642520032
UniRef90_A0A0R2J1Q1	6931.2394079997
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	6931.2394079997
UniRef90_A0A0R2KLY7	6915.4517209705
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	6915.4517209705
UniRef90_A0A0R2J1N0	6648.8454277016
UniRef90_A0A0R2J1N0|g__Carnobacterium.s__Carnobacterium_divergens	6648.8454277016
UniRef90_A0A0R2HW67	6571.6115143126
UniRef90_A0A0R2HW67|g__Carnobacterium.s__Carnobacterium_divergens	6571.6115143126
UniRef90_A0A0R2I4L0	6546.6605072037
UniRef90_A0A0R2I4L0|g__Carnobacterium.s__Carnobacterium_divergens	6546.6605072037
UniRef90_A0A0R2HUE1	6489.7209479035
UniRef90_A0A0R2HUE1|g__Carnobacterium.s__Carnobacterium_divergens	6489.7209479035
UniRef90_Q1WS97	6015.0182765845
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	6015.0182765845
UniRef90_A0A0R2HNK9	6004.5208519867
UniRef90_A0A0R2HNK9|g__Carnobacterium.s__Carnobacterium_divergens	6004.5208519867
UniRef90_F4BR43	5890.0821233096
UniRef90_F4BR43|g__Carnobacterium.s__Carnobacterium_divergens	5890.0821233096
UniRef90_K8EVY6	5853.1809367406
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_divergens	5853.1809367406
UniRef90_A0A0R2JEY5	5703.2984757813
UniRef90_A0A0R2JEY5|g__Carnobacterium.s__Carnobacterium_divergens	5703.2984757813
UniRef90_A0A0R2HW77	5416.9739475462
UniRef90_A0A0R2HW77|g__Carnobacterium.s__Carnobacterium_divergens	5416.9739475462
UniRef90_A0A0R2HNW1	5382.9893683553
UniRef90_A0A0R2HNW1|g__Carnobacterium.s__Carnobacterium_divergens	5382.9893683553
UniRef90_A0A0R2JFV2	5329.2606975515
UniRef90_A0A0R2JFV2|g__Carnobacterium.s__Carnobacterium_divergens	5329.2606975515
UniRef90_A0A366SL42	5090.9815049270
UniRef90_A0A366SL42|g__Carnobacterium.s__Carnobacterium_divergens	5090.9815049270
UniRef90_A0A0R2I5Z8	5075.3923808010
UniRef90_A0A0R2I5Z8|g__Carnobacterium.s__Carnobacterium_divergens	5075.3923808010
UniRef90_A0A0R2HWG5	5034.7179199658
UniRef90_A0A0R2HWG5|g__Carnobacterium.s__Carnobacterium_divergens	5034.7179199658
UniRef90_A0A0R2HXW1	4789.0100697728
UniRef90_A0A0R2HXW1|g__Carnobacterium.s__Carnobacterium_divergens	4789.0100697728
UniRef90_A0A0R2KAN2	4779.9964688142
UniRef90_A0A0R2KAN2|g__Carnobacterium.s__Carnobacterium_divergens	4779.9964688142
UniRef90_A0A0R2HWE2	4738.6348958602
UniRef90_A0A0R2HWE2|g__Carnobacterium.s__Carnobacterium_divergens	4738.6348958602
UniRef90_A0A0R2HYI2	4636.3503783051
UniRef90_A0A0R2HYI2|g__Carnobacterium.s__Carnobacterium_divergens	4636.3503783051
UniRef90_A0A0R2HUM7	4576.9794540110
UniRef90_A0A0R2HUM7|g__Carnobacterium.s__Carnobacterium_divergens	4576.9794540110
UniRef90_A0A0U3DSR8	4575.2884031573
UniRef90_A0A0U3DSR8|g__Carnobacterium.s__Carnobacterium_divergens	4575.2884031573
UniRef90_A0A0R2HUR4	4456.7895841435
UniRef90_A0A0R2HUR4|g__Carnobacterium.s__Carnobacterium_divergens	4456.7895841435
UniRef90_A0A0R2JH05	4327.4526769871
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_divergens	4327.4526769871
UniRef90_A0A0R2JIV5	4250.5574855813
UniRef90_A0A0R2JIV5|g__Carnobacterium.s__Carnobacterium_divergens	4250.5574855813
UniRef90_A0A0R2J1B2	4217.3148648297
UniRef90_A0A0R2J1B2|g__Carnobacterium.s__Carnobacterium_divergens	4217.3148648297
UniRef90_A0A0R2JCR5	4110.9922303519
UniRef90_A0A0R2JCR5|g__Carnobacterium.s__Carnobacterium_divergens	4110.9922303519
UniRef90_A0A0R2HWS4	3926.4214046823
UniRef90_A0A0R2HWS4|g__Carnobacterium.s__Carnobacterium_divergens	3926.4214046823
UniRef90_A0A0R2J7Y9	3840.0676419694
UniRef90_A0A0R2J7Y9|g__Carnobacterium.s__Carnobacterium_divergens	3840.0676419694
UniRef90_A0A0R2HU25	3834.3963555737
UniRef90_A0A0R2HU25|g__Carnobacterium.s__Carnobacterium_divergens	3834.3963555737
UniRef90_A0A0R2HXL8	3790.2235044173
UniRef90_A0A0R2HXL8|g__Carnobacterium.s__Carnobacterium_divergens	3790.2235044173
UniRef90_F4BR24	3765.2672352495
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	3765.2672352495
UniRef90_A0A0R2HXI1	3727.6048802766
UniRef90_A0A0R2HXI1|g__Carnobacterium.s__Carnobacterium_divergens	3727.6048802766
UniRef90_A0A0R2I3M9	3696.6266821291
UniRef90_A0A0R2I3M9|g__Carnobacterium.s__Carnobacterium_divergens	3696.6266821291
UniRef90_A0A0R2HZ28	3639.6210368574
UniRef90_A0A0R2HZ28|g__Carnobacterium.s__Carnobacterium_divergens	3639.6210368574
UniRef90_A0A0U3E3W6	3551.5350877193
UniRef90_A0A0U3E3W6|g__Carnobacterium.s__Carnobacterium_divergens	3551.5350877193
UniRef90_A0A2R8A1D2	3528.3945445236
UniRef90_A0A2R8A1D2|g__Carnobacterium.s__Carnobacterium_divergens	3528.3945445236
UniRef90_Q837C9	3524.2514115099
UniRef90_Q837C9|g__Carnobacterium.s__Carnobacterium_divergens	3524.2514115099
UniRef90_A0A0R2KAM9	3517.8361764478
UniRef90_A0A0R2KAM9|g__Carnobacterium.s__Carnobacterium_divergens	3517.8361764478
UniRef90_A0A0R2HY92	3507.6317163846
UniRef90_A0A0R2HY92|g__Carnobacterium.s__Carnobacterium_divergens	3507.6317163846
UniRef90_A0A0R2J8X6	3411.6164399818
UniRef90_A0A0R2J8X6|g__Carnobacterium.s__Carnobacterium_divergens	3411.6164399818
UniRef90_A0A0R2HP91	3398.4030001269
UniRef90_A0A0R2HP91|g__Carnobacterium.s__Carnobacterium_divergens	3398.4030001269
UniRef90_A0A0R2I6G8	3311.5124388103
UniRef90_A0A0R2I6G8|g__Carnobacterium.s__Carnobacterium_divergens	3311.5124388103
UniRef90_A0A0R2HX95	3210.0088841506
