# Gene Family	A17_Abundance-RPKs
UNMAPPED	2484183.0000000000
UniRef90_A0A2R8A0C5	43000.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	43000.0000000000
UniRef90_A0A0R2HX25	7468.8253968254
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	7468.8253968254
UniRef90_Q03D56	6817.5238651861
UniRef90_Q03D56|g__Leuconostoc.s__Leuconostoc_gelidum	6817.5238651861
UniRef90_A0A175CUC8	6778.2828282829
UniRef90_A0A175CUC8|g__Leuconostoc.s__Leuconostoc_gelidum	6778.2828282829
UniRef90_A0A0U3MP38	6666.7164027452
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	5077.5034781388
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1589.2129246065
UniRef90_A0A0R2JAD9	6253.8805970149
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	4363.3084577114
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1890.5721393035
UniRef90_Q1WS97	5708.4571772408
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	3316.7208294646
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2391.7363477762
UniRef90_A0A0R2J234	5094.7709238363
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	3315.1650046469
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1779.6059191895
UniRef90_Q839G5	5008.7305788616
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	4021.5144092420
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	987.2161696196
UniRef90_H1WN81	4881.4675866469
UniRef90_H1WN81|g__Leuconostoc.s__Leuconostoc_gelidum	4881.4675866469
UniRef90_P0A356	4389.1428571429
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4389.1428571429
UniRef90_A0A0R2HNF4	4344.4032452606
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	3249.1516830973
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1095.2515621633
UniRef90_A0A0R2J142	4214.3492063492
UniRef90_A0A0R2J142|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4214.3492063492
UniRef90_A0A0R2KLY7	4146.5415577090
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	3318.2330923447
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	828.3084653643
UniRef90_Q836X6	4068.6156151415
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	2897.6387617612
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1170.9768533803
UniRef90_F4BNZ2	3933.3333333334
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	2571.4285714286
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1361.9047619048
UniRef90_A0A0R2J1Q1	3693.4364654954
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	2925.1591545710
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	768.2773109244
UniRef90_F4BR38	3300.6289955680
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	2398.9596678152
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	901.6693277529
UniRef90_F4BR24	3270.5394520167
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	2613.2769874809
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	657.2624645358
UniRef90_A0A0R2KGR4	3139.7128702861
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	2273.0462036194
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	866.6666666667
UniRef90_UPI000704A2DC	2969.6969696970
UniRef90_UPI000704A2DC|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2969.6969696970
UniRef90_K8EVY6	2914.4409657271
