# Gene Family	A18_Abundance-RPKs
UNMAPPED	2446899.0000000000
UniRef90_A0A2R8A0C5	184500.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	184500.0000000000
UniRef90_A0A0R2JAD9	63478.6823458368
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	55224.7768732001
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	8253.9054726366
UniRef90_A0A0R2HX25	47962.0952380980
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	47962.0952380980
UniRef90_P0A356	28682.7946748597
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	28682.7946748597
UniRef90_A0A0U3MP38	27573.1125562059
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	24739.7515801385
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2833.3609760673
UniRef90_A0A0R2HNF4	26136.2317138053
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	23374.1112823231
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2762.1204314822
UniRef90_F4BNZ2	25572.3552025527
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	20896.1647263622
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4676.1904761905
UniRef90_Q1WS97	22578.2190777869
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	19147.6248345185
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3430.5942432684
UniRef90_A0A0U2VN98	20450.2147995616
UniRef90_A0A0U2VN98|g__Carnobacterium.s__Carnobacterium_divergens	20450.2147995616
UniRef90_Q836X6	18162.7236205813
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	16107.0762008115
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2055.6474197698
UniRef90_Q839G5	18141.2824181056
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	15803.6205568386
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2337.6618612670
UniRef90_F4BR38	17882.8431094338
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	15934.7257353788
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1948.1173740549
UniRef90_A0A0R2KLY7	16106.4195252017
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	14732.6565143829
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1373.7630108189
UniRef90_A0A0R2J234	16000.2061910439
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	12894.5163380388
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3105.6898530051
UniRef90_A0A0R2HWA8	15749.0990628449
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	13869.6411995905
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1879.4578632543
UniRef90_A0A0R2I517	15161.1528150690
UniRef90_A0A0R2I517|g__Carnobacterium.s__Carnobacterium_divergens	15161.1528150690
UniRef90_B9E9K1	14823.3617453496
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_divergens	12949.1656505294
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1874.1960948202
UniRef90_A0A0R2J1Q1	14442.1887278260
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	12857.5057523428
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1584.6829754832
UniRef90_A0A0R2KGR4	14311.3742347492
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	12571.6612998611
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1739.7129348880
UniRef90_F4BR24	14207.9839656917
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	12972.1150689990
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1235.8688966927
UniRef90_A0A0R2HPK8	13765.4355894833
UniRef90_A0A0R2HPK8|g__Carnobacterium.s__Carnobacterium_divergens	13765.4355894833
UniRef90_A0A0R2HXQ4	12852.7472193432
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	12852.7472193432
UniRef90_P66421	12820.3112203111
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_divergens	11027.4365274364
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1792.8746928747
UniRef90_P66145	11649.4333178076
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_divergens	9798.4008694300
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1851.0324483776
UniRef90_A0A0R2HX95	11307.6535935357
