# Gene Family	A21_Abundance-RPKs
UNMAPPED	2613602.0000000000
UniRef90_A0A2R8A0C5	156833.3333333333
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	156833.3333333333
UniRef90_A0A0R2JAD9	32393.6074651891
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	27085.0253756370
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5308.5820895521
UniRef90_P0A356	19920.7619047614
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	19920.7619047614
UniRef90_A0A0R2HX25	19707.8095238090
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	19707.8095238090
UniRef90_A0A0R2HNF4	13018.5574229690
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	11176.0261797025
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1842.5312432665
UniRef90_A0A0U3MP38	12497.7796709974
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	10624.5125655903
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1873.2671054071
UniRef90_F4BNZ2	11933.8881706527
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	9648.1738849384
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2285.7142857143
UniRef90_Q1WS97	9536.3122872172
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	7155.7025688638
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2380.6097183535
UniRef90_Q839G5	9017.4428165029
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	7333.6271090820
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1683.8157074209
UniRef90_F4BR38	7961.9059550040
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	6792.4546487685
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1169.4513062355
UniRef90_Q836X6	7910.4950042310
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	6709.6036209362
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1200.8913832948
UniRef90_A0A0R2J234	7828.9093529163
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	5588.4389433584
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2240.4704095579
UniRef90_A0A0R2HXQ4	7773.1622775613
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	7773.1622775613
UniRef90_A0A0R2KLY7	7692.2529971842
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	6838.6407324044
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	853.6122647798
UniRef90_A0A0R2HWA8	7463.6217998453
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	6144.4602441047
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1319.1615557406
UniRef90_A0A0U2VN98	7100.6979624002
UniRef90_A0A0U2VN98|g__Carnobacterium.s__Carnobacterium_divergens	7100.6979624002
UniRef90_A0A0R2KGR4	7076.3522394097
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	5390.6177332931
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1685.7345061167
UniRef90_A0A0R2J1Q1	6811.1280875990
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	5237.1371275786
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1573.9909600204
UniRef90_B9E9K1	6343.5838499223
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_divergens	5051.0552343805
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1292.5286155418
UniRef90_A0A0R2JH05	6292.6949949524
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_divergens	5542.6949949524
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_maltaromaticum	750.0000000000
UniRef90_F4BR24	6160.4567188462
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	5434.0019443288
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	726.4547745174
UniRef90_A0A0R2HUL4	6073.0676407459
UniRef90_A0A0R2HUL4|g__Carnobacterium.s__Carnobacterium_divergens	6073.0676407459
UniRef90_P66145	5912.5135848471
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_divergens	5061.6363918646
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_maltaromaticum	850.8771929825
UniRef90_P66421	5793.1218958742
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_divergens	4802.1309048832
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_maltaromaticum	990.9909909910
UniRef90_A0A0R2I517	5774.0572766609
UniRef90_A0A0R2I517|g__Carnobacterium.s__Carnobacterium_divergens	5774.0572766609
UniRef90_C4KZQ9	5530.0773767250
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_divergens	5139.7477063953
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	390.3296703297
UniRef90_Q82YU9	5250.2824858757
UniRef90_Q82YU9|g__Carnobacterium.s__Carnobacterium_divergens	4816.9491525424
UniRef90_Q82YU9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	433.3333333333
UniRef90_K8EVY6	5083.1430143190
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_divergens	4142.3880979417
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	940.7549163773
UniRef90_A0A0R2HX12	5062.9173313108
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_divergens	4422.3039460082
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_maltaromaticum	640.6133853025
UniRef90_A0A0R2HND5	4965.0675360969
UniRef90_A0A0R2HND5|g__Carnobacterium.s__Carnobacterium_divergens	4965.0675360969
UniRef90_A0A0R2HUQ6	4887.5073094479
UniRef90_A0A0R2HUQ6|g__Carnobacterium.s__Carnobacterium_divergens	4887.5073094479
UniRef90_A0A0R2HPK8	4859.2213659315
UniRef90_A0A0R2HPK8|g__Carnobacterium.s__Carnobacterium_divergens	4859.2213659315
UniRef90_A0A0R2HWX2	4791.1742603082
UniRef90_A0A0R2HWX2|g__Carnobacterium.s__Carnobacterium_divergens	4791.1742603082
UniRef90_Q9F0R4	4622.5239201698
UniRef90_Q9F0R4|g__Carnobacterium.s__Carnobacterium_divergens	4622.5239201698
UniRef90_A0A0R2I0E2	4614.6871542841
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_divergens	4365.8933907011
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	248.7937635830
UniRef90_A0A0R2HNW1	4465.2369318011
UniRef90_A0A0R2HNW1|g__Carnobacterium.s__Carnobacterium_divergens	4465.2369318011
UniRef90_A0A0R2J142	4087.3650793651
UniRef90_A0A0R2J142|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4087.3650793651
UniRef90_Q5L3R6	3923.7082362082
UniRef90_Q5L3R6|g__Carnobacterium.s__Carnobacterium_divergens	2729.2152292152
UniRef90_Q5L3R6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1194.4930069930
UniRef90_A0A0R2IU38	3919.2174913694
UniRef90_A0A0R2IU38|g__Carnobacterium.s__Carnobacterium_divergens	3601.0292801432
UniRef90_A0A0R2IU38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	318.1882112262
UniRef90_A0A0R2J9S4	3900.4386045838
UniRef90_A0A0R2J9S4|g__Carnobacterium.s__Carnobacterium_divergens	3457.1277857664
UniRef90_A0A0R2J9S4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	443.3108188174
UniRef90_A0A0R2HXW1	3804.1331650575
UniRef90_A0A0R2HXW1|g__Carnobacterium.s__Carnobacterium_divergens	3804.1331650575
UniRef90_Q8ZDZ6	3679.0123456790
UniRef90_Q8ZDZ6|g__Vagococcus.s__Vagococcus_proximus	3679.0123456790
UniRef90_A0A0R2HXI1	3651.3444767442
UniRef90_A0A0R2HXI1|g__Carnobacterium.s__Carnobacterium_divergens	3651.3444767442
UniRef90_A0A0R2JFV2	3448.9882731867
UniRef90_A0A0R2JFV2|g__Carnobacterium.s__Carnobacterium_divergens	3382.3216065200
UniRef90_A0A0R2JFV2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	66.6666666667
UniRef90_A0A0R2I3M9	3355.6878471174
UniRef90_A0A0R2I3M9|g__Carnobacterium.s__Carnobacterium_divergens	3355.6878471174
UniRef90_A0A0R2KAQ0	3352.5268646467
UniRef90_A0A0R2KAQ0|g__Carnobacterium.s__Carnobacterium_divergens	2521.1823428554
UniRef90_A0A0R2KAQ0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	831.3445217913
UniRef90_A0A0U3MDW1	3257.2344322345
UniRef90_A0A0U3MDW1|g__Carnobacterium.s__Carnobacterium_divergens	3257.2344322345
UniRef90_A0A0R2KAN2	3227.0260720325
UniRef90_A0A0R2KAN2|g__Carnobacterium.s__Carnobacterium_divergens	2684.4602609727
UniRef90_A0A0R2KAN2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	542.5658110598
UniRef90_A0A848MK01	3096.4621337756
UniRef90_A0A848MK01|g__Vagococcus.s__Vagococcus_proximus	3096.4621337756
UniRef90_A0A0R2HX95	3083.3747391433
UniRef90_A0A0R2HX95|g__Carnobacterium.s__Carnobacterium_divergens	3083.3747391433
UniRef90_A0A0R2HZM5	3068.8181550251
UniRef90_A0A0R2HZM5|g__Carnobacterium.s__Carnobacterium_divergens	3068.8181550251
UniRef90_A0A0R2I6G8	2971.5685398680
UniRef90_A0A0R2I6G8|g__Carnobacterium.s__Carnobacterium_divergens	2971.5685398680
UniRef90_UPI000704A2DC	2947.0275271802
UniRef90_UPI000704A2DC|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2947.0275271802
UniRef90_A0A0R2J1N0	2852.8467194411
UniRef90_A0A0R2J1N0|g__Carnobacterium.s__Carnobacterium_divergens	2209.9754908866
UniRef90_A0A0R2J1N0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	642.8712285545
UniRef90_A0A0R2HUM7	2809.2205335766
UniRef90_A0A0R2HUM7|g__Carnobacterium.s__Carnobacterium_divergens	2809.2205335766
UniRef90_A0A0R2HP91	2777.1057748894
UniRef90_A0A0R2HP91|g__Carnobacterium.s__Carnobacterium_divergens	2777.1057748894
UniRef90_A0A0R2JIP5	2739.2362213054
UniRef90_A0A0R2JIP5|g__Carnobacterium.s__Carnobacterium_divergens	2521.8449169576
UniRef90_A0A0R2JIP5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	217.3913043478
UniRef90_Q837C9	2682.3617339312
UniRef90_Q837C9|g__Carnobacterium.s__Carnobacterium_divergens	2682.3617339312
UniRef90_A8FFC6	2666.6666666667
UniRef90_A8FFC6|g__Carnobacterium.s__Carnobacterium_divergens	2000.0000000000
UniRef90_A8FFC6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	666.6666666667
UniRef90_A0A0R2HUR4	2653.9278780745
UniRef90_A0A0R2HUR4|g__Carnobacterium.s__Carnobacterium_divergens	2653.9278780745
UniRef90_A0A0R2HYJ8	2614.4739817178
UniRef90_A0A0R2HYJ8|g__Carnobacterium.s__Carnobacterium_divergens	2614.4739817178
UniRef90_S4ECE0	2524.6112278462
UniRef90_S4ECE0|g__Carnobacterium.s__Carnobacterium_divergens	2151.8499420968
UniRef90_S4ECE0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	372.7612857494
UniRef90_F4BR31	2392.1890772415
UniRef90_F4BR31|g__Carnobacterium.s__Carnobacterium_divergens	2392.1890772415
UniRef90_A0A0R2HUT8	2325.4608868047
UniRef90_A0A0R2HUT8|g__Carnobacterium.s__Carnobacterium_divergens	2325.4608868047
UniRef90_A0A0R2HWM8	2312.7621756132
UniRef90_A0A0R2HWM8|g__Carnobacterium.s__Carnobacterium_divergens	2312.7621756132
UniRef90_O07125	2307.3462041885
UniRef90_O07125|g__Carnobacterium.s__Carnobacterium_divergens	2020.8878708551
UniRef90_O07125|g__Carnobacterium.s__Carnobacterium_maltaromaticum	286.4583333333
UniRef90_A0A0R2HW67	2289.4091060801
UniRef90_A0A0R2HW67|g__Carnobacterium.s__Carnobacterium_divergens	1809.0169492174
UniRef90_A0A0R2HW67|g__Carnobacterium.s__Carnobacterium_maltaromaticum	480.3921568627
UniRef90_A0A0R2HNK9	2281.8501826322
UniRef90_A0A0R2HNK9|g__Carnobacterium.s__Carnobacterium_divergens	2281.8501826322
UniRef90_A0A0R2I6A7	2258.5361930001
UniRef90_A0A0R2I6A7|g__Carnobacterium.s__Carnobacterium_divergens	2258.5361930001
UniRef90_Q8ZJ91	2214.2857142857
UniRef90_Q8ZJ91|g__Vagococcus.s__Vagococcus_proximus	2214.2857142857
UniRef90_A0A0R2J1L7	2188.5229452589
UniRef90_A0A0R2J1L7|g__Carnobacterium.s__Carnobacterium_divergens	1864.3850142245
UniRef90_A0A0R2J1L7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	324.1379310345
UniRef90_F4BR43	2188.2811604174
UniRef90_F4BR43|g__Carnobacterium.s__Carnobacterium_divergens	2015.4416542445
UniRef90_F4BR43|g__Carnobacterium.s__Carnobacterium_maltaromaticum	172.8395061728
UniRef90_A0A0U3DSR8	2075.0700280112
UniRef90_A0A0U3DSR8|g__Carnobacterium.s__Carnobacterium_divergens	1566.7366946779
UniRef90_A0A0U3DSR8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	508.3333333333
UniRef90_A0A0R2I7S6	2071.4336076390
UniRef90_A0A0R2I7S6|g__Carnobacterium.s__Carnobacterium_divergens	2071.4336076390
UniRef90_A0A0R2J1B2	2060.2314998391
