# Pathway	A28_Abundance
UNMAPPED	318101.3768228454
UNINTEGRATED	232732.2094301930
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_divergens	212383.0085468904
UNINTEGRATED|g__Vagococcus.s__Vagococcus_proximus	67025.1394418319
UNINTEGRATED|g__Leuconostoc.s__Leuconostoc_gelidum	47770.5196779890
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_maltaromaticum	27349.8210914658
PWY0-1296: purine ribonucleosides degradation	5724.2004108015
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_divergens	5012.1695503001
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_maltaromaticum	560.3522586728
PWY0-1296: purine ribonucleosides degradation|g__Vagococcus.s__Vagococcus_proximus	62.6784881761
PWY-1042: glycolysis IV	1134.2130814195
PWY-1042: glycolysis IV|g__Carnobacterium.s__Carnobacterium_maltaromaticum	603.3318279014
PWY-6609: adenine and adenosine salvage III	843.0235609632
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_divergens	345.1231641758
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_maltaromaticum	73.9428726589
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	479.3689415408
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)|g__Carnobacterium.s__Carnobacterium_divergens	255.6135123249
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)|g__Carnobacterium.s__Carnobacterium_maltaromaticum	117.4005261661
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	467.9303008441
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Carnobacterium.s__Carnobacterium_maltaromaticum	46.3100134612
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	428.6533185401
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Leuconostoc.s__Leuconostoc_gelidum	84.7228687172
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	403.5958859071
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Carnobacterium.s__Carnobacterium_divergens	237.2356230267
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Carnobacterium.s__Carnobacterium_maltaromaticum	62.9181199734
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Leuconostoc.s__Leuconostoc_gelidum	62.3035483962
PWY-7221: guanosine ribonucleotides de novo biosynthesis	378.9642800835
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_divergens	229.1821325002
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_maltaromaticum	60.8800486049
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Leuconostoc.s__Leuconostoc_gelidum	38.1746584887
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	374.2303709103
PENTOSE-P-PWY: pentose phosphate pathway	353.2736326152
PWY-2941: L-lysine biosynthesis II	346.8851356590
PWY-2941: L-lysine biosynthesis II|g__Carnobacterium.s__Carnobacterium_divergens	263.4742588213
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	343.2457499396
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Leuconostoc.s__Leuconostoc_gelidum	82.5147917939
CALVIN-PWY: Calvin-Benson-Bassham cycle	318.3172228498
PWY-5097: L-lysine biosynthesis VI	280.5883294838
PWY-5097: L-lysine biosynthesis VI|g__Carnobacterium.s__Carnobacterium_divergens	196.2981017315
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	277.2422648880
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Leuconostoc.s__Leuconostoc_gelidum	47.9264147969
PWY-6151: S-adenosyl-L-methionine salvage I	269.0740077201
PWY-6151: S-adenosyl-L-methionine salvage I|g__Carnobacterium.s__Carnobacterium_divergens	127.7039290421
PWY-6151: S-adenosyl-L-methionine salvage I|g__Leuconostoc.s__Leuconostoc_gelidum	69.2651430998
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	253.3925119179
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Carnobacterium.s__Carnobacterium_maltaromaticum	179.6194566119
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	249.6616342037
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	242.8807505340
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Carnobacterium.s__Carnobacterium_divergens	155.6714231942
PWY-7199: pyrimidine deoxyribonucleosides salvage	231.3944670370
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Carnobacterium.s__Carnobacterium_divergens	140.3668679503
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Leuconostoc.s__Leuconostoc_gelidum	22.2045152722
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	213.0638446306
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Carnobacterium.s__Carnobacterium_divergens	166.2169155572
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Leuconostoc.s__Leuconostoc_gelidum	36.2494290718
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Carnobacterium.s__Carnobacterium_maltaromaticum	13.1400648791
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	211.0705146445
