# Gene Family	A15_Abundance-RPKs
UNMAPPED	3557472.0000000000
UniRef90_A0A2R8A0C5	21500.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	21500.0000000000
UniRef90_A0A0U3MP38	4842.8059330816
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	3866.2635414771
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	976.5423916045
UniRef90_A0A0R2J234	4313.3401262292
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	2823.3483694850
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1489.9917567442
UniRef90_A0A0R2HX25	4159.1142082849
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	4159.1142082849
UniRef90_Q839G5	3974.3589743590
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	3098.2905982907
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	876.0683760684
UniRef90_Q1WS97	3655.6716186939
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	2333.4184463015
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1322.2531723925
UniRef90_P0A356	3135.1121351767
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3135.1121351767
UniRef90_A0A0R2JAD9	3079.6019900498
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	2164.1791044776
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	915.4228855721
UniRef90_F4BR24	2792.5222704998
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	2402.5752435371
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	389.9470269627
UniRef90_F4BNZ2	2685.8058608059
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	2114.3772893773
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	571.4285714286
UniRef90_A0A0R2HNF4	2648.3516483516
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	2142.8571428571
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	505.4945054945
UniRef90_A0A0R2J1Q1	2622.1320346320
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	2062.4108734403
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	559.7211611918
UniRef90_Q836X6	2363.3212281281
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	1790.6533142585
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	572.6679138696
