# Pathway	A22_Abundance
UNMAPPED	374049.9697375246
UNINTEGRATED	279864.4189481837
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_divergens	298783.0403723948
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_maltaromaticum	56517.7106140010
UNINTEGRATED|g__Vagococcus.s__Vagococcus_proximus	49230.0723514196
PWY0-1296: purine ribonucleosides degradation	8028.5855383015
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_divergens	7103.3527551051
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_maltaromaticum	758.6245165376
PWY0-1296: purine ribonucleosides degradation|g__Vagococcus.s__Vagococcus_proximus	60.0778389276
PWY-1042: glycolysis IV	1631.9772617004
PWY-1042: glycolysis IV|g__Carnobacterium.s__Carnobacterium_maltaromaticum	871.2862826841
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	940.8896014664
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Carnobacterium.s__Carnobacterium_maltaromaticum	133.8282888197
PWY-7221: guanosine ribonucleotides de novo biosynthesis	796.6965613283
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_divergens	589.7055398667
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_maltaromaticum	131.8937973265
PWY-6609: adenine and adenosine salvage III	607.5102973943
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_divergens	448.7890797729
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_maltaromaticum	155.3510908937
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	543.6787844296
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Carnobacterium.s__Carnobacterium_divergens	448.1708657862
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Carnobacterium.s__Carnobacterium_maltaromaticum	104.1033043459
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	487.2027496985
