# Pathway	A18_Abundance
UNMAPPED	448021.9895544553
UNINTEGRATED	306722.5818694066
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_divergens	276425.4281898499
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_maltaromaticum	29204.8557150052
UNINTEGRATED|g__Yersinia.s__Yersinia_intermedia	28032.6276177605
PWY0-1296: purine ribonucleosides degradation	3319.6645885372
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_divergens	3195.9256819155
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_maltaromaticum	104.6339653540
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	1556.4802928907
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Carnobacterium.s__Carnobacterium_maltaromaticum	122.3423529056
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Yersinia.s__Yersinia_intermedia	51.9209464768
PWY-1042: glycolysis IV	1458.1816451999
PWY-1042: glycolysis IV|g__Carnobacterium.s__Carnobacterium_maltaromaticum	349.6930147846
PWY-1042: glycolysis IV|g__Yersinia.s__Yersinia_intermedia	134.8012593996
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	1139.1974335551
PWY-7221: guanosine ribonucleotides de novo biosynthesis	827.5890624727
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_divergens	623.7427883148
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_maltaromaticum	96.4117689909
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Yersinia.s__Yersinia_intermedia	18.4703615176
PWY-6609: adenine and adenosine salvage III	813.8457190969
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_divergens	730.0693938239
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_maltaromaticum	30.9108102200
PWY-5484: glycolysis II (from fructose 6-phosphate)	549.6686210096
PWY-5484: glycolysis II (from fructose 6-phosphate)|g__Yersinia.s__Yersinia_intermedia	38.1261449426
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	526.7025060293
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|g__Yersinia.s__Yersinia_intermedia	51.6924277404
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	506.3889065867
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Carnobacterium.s__Carnobacterium_divergens	386.7353286140
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Yersinia.s__Yersinia_intermedia	85.5018696513
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Carnobacterium.s__Carnobacterium_maltaromaticum	17.5737318955
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	505.4645826475
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Carnobacterium.s__Carnobacterium_divergens	445.7819416729
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Carnobacterium.s__Carnobacterium_maltaromaticum	51.5539702457
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	478.3680700785
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Carnobacterium.s__Carnobacterium_divergens	415.3008999266
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Yersinia.s__Yersinia_intermedia	38.2129614156
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Carnobacterium.s__Carnobacterium_maltaromaticum	9.9151820837
