# Gene Family	A09_Abundance-RPKs
UNMAPPED	3249371.0000000000
UniRef90_A0A2R8A0C5	2500.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	2500.0000000000
UniRef90_A0A0U3MP38	619.7293825848
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	518.7904154487
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	100.9389671362
UniRef90_A0A0R2J234	562.8581616752
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	357.0260581825
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	205.8321034927
UniRef90_Q839G5	559.9024247093
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	414.5665969700
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	145.3358277393
UniRef90_Q1WS97	469.4444444444
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	275.0000000000
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	194.4444444444
UniRef90_F4BNZ2	428.5714285714
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	247.6190476190
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	180.9523809524
UniRef90_A0A0R2HX25	373.1428571429
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	373.1428571429
UniRef90_A0A0R2J1Q1	365.4252610135
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	311.9493251846
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	53.4759358289
UniRef90_A0A0R2JAD9	343.2835820896
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	218.9054726368
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	124.3781094527
UniRef90_F4BR24	339.6325615539
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	298.7520584092
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	40.8805031447
UniRef90_Q836X6	337.6068376068
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	247.8632478632
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	89.7435897436
UniRef90_A0A0R2HNF4	337.0098039216
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	249.0977160095
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	87.9120879121
UniRef90_K8EVY6	299.0829483315
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_divergens	221.3456116749
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	77.7373366567
UniRef90_P0A356	285.7142857143
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	285.7142857143
UniRef90_A0A0R2HWA8	257.2567083425
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	161.5120274914
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	95.7446808511
UniRef90_F4BR38	248.6338797814
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	177.5956284153
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	71.0382513661
UniRef90_A0A0R2KLY7	237.3737373737
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	212.1212121212
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	25.2525252525
UniRef90_A0A0R2KGR4	234.9206349206
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	177.7777777778
