# Gene Family	A25_Abundance-RPKs
UNMAPPED	3828972.0000000000
UniRef90_A0A2R8A0C5	299666.6666666667
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	299666.6666666667
UniRef90_A0A0R2JAD9	108097.2448595895
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	86251.1005809807
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	21846.1442786088
UniRef90_P0A356	92621.4009216669
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	92621.4009216669
UniRef90_A0A0R2HX25	85623.8864286410
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	85623.8864286410
UniRef90_A0A175CUC8	43248.4848484838
UniRef90_A0A175CUC8|g__Leuconostoc.s__Leuconostoc_gelidum	43248.4848484838
UniRef90_A0A0R2HNF4	42250.2436028387
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	34656.5272701515
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	7593.7163326872
UniRef90_F4BNZ2	41287.7307158849
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	29658.7929869474
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	11628.9377289375
UniRef90_A0A0R2JH05	39023.7286484171
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_divergens	30673.5734653009
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_maltaromaticum	8350.1551831162
UniRef90_A0A0U3MP38	32033.3564474043
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	25373.6712254544
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6659.6852219499
UniRef90_H1WN81	29486.1077807829
UniRef90_H1WN81|g__Leuconostoc.s__Leuconostoc_gelidum	29486.1077807829
UniRef90_A0A0U2VN98	28471.8009705473
UniRef90_A0A0U2VN98|g__Carnobacterium.s__Carnobacterium_divergens	28471.8009705473
UniRef90_Q1WS97	27667.8276438595
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	20181.6003399309
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	7486.2273039285
UniRef90_Q836X6	25325.6311318124
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	19923.5722941313
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5402.0588376811
UniRef90_Q839G5	24654.3050005744
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	18521.7711863217
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6132.5338142527
UniRef90_A0A0R2KLY7	24430.1645900639
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	21576.3985027953
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2853.7660872686
UniRef90_F4BR38	23595.9877647640
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	18858.2154352894
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4737.7723294746
UniRef90_P66145	22483.7758112090
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_divergens	17641.5152926560
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4842.2605185530
UniRef90_P66421	22172.0766220764
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_divergens	17000.7416507414
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5171.3349713349
UniRef90_A0A0R2HXI1	21465.9035852715
UniRef90_A0A0R2HXI1|g__Carnobacterium.s__Carnobacterium_divergens	21465.9035852715
UniRef90_A0A0R2I517	21179.5464010880
UniRef90_A0A0R2I517|g__Carnobacterium.s__Carnobacterium_divergens	21179.5464010880
UniRef90_A0A0R2HWA8	20958.5488617359
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	16752.8498637298
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4205.6989980061
UniRef90_B9E9K1	20653.4562404858
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_divergens	15115.9133390142
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5537.5429014716
UniRef90_A0A0R2HXQ4	20302.2628349987
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	20302.2628349987
UniRef90_A0A0R2KGR4	19797.1693374711
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	13409.7766291547
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6387.3927083164
UniRef90_A0A0R2HUQ6	18740.0651541286
UniRef90_A0A0R2HUQ6|g__Carnobacterium.s__Carnobacterium_divergens	18740.0651541286
UniRef90_A0A0R2HUL4	18156.4903706015
UniRef90_A0A0R2HUL4|g__Carnobacterium.s__Carnobacterium_divergens	18156.4903706015
UniRef90_A0A0R2J234	17710.6254383473
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	11375.3607153627
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6335.2647229846
UniRef90_A0A0R2J142	17175.2380952373
UniRef90_A0A0R2J142|g__Carnobacterium.s__Carnobacterium_maltaromaticum	17175.2380952373
UniRef90_A0A0R2HX12	17152.8809879472
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_divergens	14412.5242138515
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2740.3567740957
UniRef90_A0A0R2HPK8	16840.5970413687
UniRef90_A0A0R2HPK8|g__Carnobacterium.s__Carnobacterium_divergens	16840.5970413687
UniRef90_F4BR24	16248.9443326683
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	13994.1677056994
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2254.7766269689
UniRef90_A0A0R2HND5	16184.5986648032
UniRef90_A0A0R2HND5|g__Carnobacterium.s__Carnobacterium_divergens	16184.5986648032
UniRef90_A0A0R2J1Q1	16046.4859583060
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	11443.9585837195
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4602.5273745865
UniRef90_A0A0R2HWX2	15287.5270335385
UniRef90_A0A0R2HWX2|g__Carnobacterium.s__Carnobacterium_divergens	15287.5270335385
UniRef90_A0A0R2I0E2	14775.7767940085
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_divergens	13463.5737273524
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1312.2030666561
UniRef90_Q5L3R6	14528.3612123401
UniRef90_Q5L3R6|g__Carnobacterium.s__Carnobacterium_divergens	9548.9996114997
UniRef90_Q5L3R6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4979.3616008404
UniRef90_C4KZQ9	14513.1949998437
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_divergens	13205.4945521432
