# Gene Family	A30_Abundance-RPKs
UNMAPPED	5106451.0000000000
UniRef90_A0A2R8A0C5	420833.3333333334
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	420833.3333333334
UniRef90_A0A0R2JAD9	86996.5686717774
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	67354.2054876963
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	19642.3631840811
UniRef90_P0A356	66684.0665892422
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	66684.0665892422
UniRef90_A0A175CUC8	62961.1111111072
UniRef90_A0A175CUC8|g__Leuconostoc.s__Leuconostoc_gelidum	62961.1111111072
UniRef90_A0A0R2JH05	53376.3044544873
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_divergens	38148.3714935943
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_maltaromaticum	15227.9329608930
UniRef90_A0A0R2HX25	40311.5596767968
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	40311.5596767968
UniRef90_Q8ZDZ6	38705.3911701552
UniRef90_Q8ZDZ6|g__Rahnella.s__Rahnella_inusitata	19543.9766889040
UniRef90_Q8ZDZ6|g__Vagococcus.s__Vagococcus_proximus	19161.4144812512
UniRef90_A0A0R2HXI1	37962.4525041204
UniRef90_A0A0R2HXI1|g__Carnobacterium.s__Carnobacterium_divergens	37962.4525041204
UniRef90_A0A0R2HNF4	29154.6686323644
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	23022.5846310405
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6132.0840013239
UniRef90_A0A0R2HND5	26360.1925166892
UniRef90_A0A0R2HND5|g__Carnobacterium.s__Carnobacterium_divergens	26360.1925166892
UniRef90_A0A0R2HXQ4	24736.7339542985
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	24736.7339542985
UniRef90_F4BNZ2	23381.9597069592
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	14800.7326007322
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	8581.2271062270
UniRef90_H1WN81	22365.8422939066
UniRef90_H1WN81|g__Leuconostoc.s__Leuconostoc_gelidum	22365.8422939066
UniRef90_A0A0R2I517	21483.2546944872
UniRef90_A0A0R2I517|g__Carnobacterium.s__Carnobacterium_divergens	21483.2546944872
UniRef90_A0A848MK01	20334.1625207299
UniRef90_A0A848MK01|g__Vagococcus.s__Vagococcus_proximus	10200.4975124379
UniRef90_A0A848MK01|g__Rahnella.s__Rahnella_inusitata	10133.6650082920
UniRef90_Q8ZJ91	19669.5993031358
UniRef90_Q8ZJ91|g__Rahnella.s__Rahnella_inusitata	10263.6759581881
UniRef90_Q8ZJ91|g__Vagococcus.s__Vagococcus_proximus	9405.9233449477
UniRef90_A0A0U3MP38	18086.9980928870
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	12014.1894764823
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6072.8086164046
UniRef90_A0A0R2J6P6	17999.0075666549
UniRef90_A0A0R2J6P6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	17999.0075666549
UniRef90_A0A0R2HWX2	16625.7925049375
UniRef90_A0A0R2HWX2|g__Carnobacterium.s__Carnobacterium_divergens	16625.7925049375
UniRef90_Q1WS97	16548.4913956962
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	9915.0573010407
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6633.4340946555
UniRef90_Q839G5	15645.7031285353
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	10243.7181321297
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5401.9849964056
UniRef90_A0A0R2HXW1	13916.8928598711
UniRef90_A0A0R2HXW1|g__Carnobacterium.s__Carnobacterium_divergens	13916.8928598711
UniRef90_A0A0R2HZM5	13796.3479798559
UniRef90_A0A0R2HZM5|g__Carnobacterium.s__Carnobacterium_divergens	13796.3479798559
UniRef90_A0A0R2HYJ8	13561.0251937117
