# Gene Family	A01_Abundance-RPKs
UNMAPPED	3643401.0000000000
UniRef90_A0A2R8A0C5	1500.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	1500.0000000000
UniRef90_A0A0R2HX25	111.1111111111
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	111.1111111111
UniRef90_A0A0U3MP38	103.2863849765
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	103.2863849765
UniRef90_A0A0R2J234	78.3242258652
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	78.3242258652
UniRef90_Q839G5	59.8290598291
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	59.8290598291
UniRef90_A0A0R2KLY7	55.5555555556
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	55.5555555556
UniRef90_A0A0R2J1Q1	48.1283422460
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	48.1283422460
UniRef90_A0A0R2KGR4	44.4444444444
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	44.4444444444
UniRef90_Q1WS97	44.4444444444
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	44.4444444444
UniRef90_A0A0U3MDW1	38.0952380952
UniRef90_A0A0U3MDW1|g__Carnobacterium.s__Carnobacterium_divergens	38.0952380952
UniRef90_A0A0R2J9S4	37.8006872852
UniRef90_A0A0R2J9S4|g__Carnobacterium.s__Carnobacterium_divergens	37.8006872852
UniRef90_A0A0R2HNW1	34.8837209302
UniRef90_A0A0R2HNW1|g__Carnobacterium.s__Carnobacterium_divergens	34.8837209302
UniRef90_F4BR38	32.7868852459
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	32.7868852459
UniRef90_A0A0R2JAD9	29.8507462687
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	29.8507462687
UniRef90_Q9F0R4	29.4985250737
UniRef90_Q9F0R4|g__Carnobacterium.s__Carnobacterium_divergens	29.4985250737
UniRef90_Q5L3R6	27.7777777778
UniRef90_Q5L3R6|g__Carnobacterium.s__Carnobacterium_divergens	27.7777777778
UniRef90_K8EVY6	27.6679841897
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_divergens	27.6679841897
UniRef90_A0A2R8A1D2	26.6666666667
UniRef90_A0A2R8A1D2|g__Carnobacterium.s__Carnobacterium_divergens	26.6666666667
UniRef90_P66145	26.3157894737
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_divergens	26.3157894737
UniRef90_A0A0R2JIP5	21.7391304348
UniRef90_A0A0R2JIP5|g__Carnobacterium.s__Carnobacterium_divergens	21.7391304348
UniRef90_Q836X6	21.3675213675
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	21.3675213675
UniRef90_A0A0R2HWG5	19.7740112994
UniRef90_A0A0R2HWG5|g__Carnobacterium.s__Carnobacterium_divergens	19.7740112994
UniRef90_A0A0R2I0E2	19.5121951220
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_divergens	19.5121951220
UniRef90_A0A0R2I3M9	18.9003436426
UniRef90_A0A0R2I3M9|g__Carnobacterium.s__Carnobacterium_divergens	18.9003436426
UniRef90_A0A0R2HPK8	18.7793427230
UniRef90_A0A0R2HPK8|g__Carnobacterium.s__Carnobacterium_divergens	18.7793427230
UniRef90_A0A0R2HNF4	18.3150183150
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	18.3150183150
UniRef90_A0A0R2I6Z6	17.5438596491
UniRef90_A0A0R2I6Z6|g__Carnobacterium.s__Carnobacterium_divergens	17.5438596491
UniRef90_A0A0R2HWA8	17.1821305842
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	17.1821305842
UniRef90_A0A0R2JH05	16.9491525424
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_divergens	16.9491525424
UniRef90_A0A0R2HNK9	16.2601626016
UniRef90_A0A0R2HNK9|g__Carnobacterium.s__Carnobacterium_divergens	16.2601626016
UniRef90_A0A0R2J8X6	15.7068062827
UniRef90_A0A0R2J8X6|g__Carnobacterium.s__Carnobacterium_divergens	15.7068062827
UniRef90_A0A0R2J1N0	15.1515151515
UniRef90_A0A0R2J1N0|g__Carnobacterium.s__Carnobacterium_divergens	15.1515151515
UniRef90_A0A0R2KAN2	14.1843971631
UniRef90_A0A0R2KAN2|g__Carnobacterium.s__Carnobacterium_divergens	14.1843971631
UniRef90_A0A0R2HXQ4	13.9784946237
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	13.9784946237
UniRef90_A0A0U2VN98	10.5820105820
UniRef90_A0A0U2VN98|g__Carnobacterium.s__Carnobacterium_divergens	10.5820105820
UniRef90_A0A0R2I2B7	7.6190476190
UniRef90_A0A0R2I2B7|g__Carnobacterium.s__Carnobacterium_divergens	7.6190476190
