# Gene Family	A16_Abundance-RPKs
UNMAPPED	4181355.0000000000
UniRef90_A0A2R8A0C5	37500.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	37500.0000000000
UniRef90_A0A0R2HX25	9190.8571428570
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	9190.8571428570
UniRef90_A0A0U3MP38	7988.3181702128
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	6100.9831798787
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1887.3349903341
UniRef90_A0A0R2JAD9	7736.4676616914
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	5910.5223880596
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1825.9452736318
UniRef90_P0A356	6738.2222222222
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6738.2222222222
UniRef90_Q1WS97	6727.9170535439
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	4216.7672547199
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2511.1497988239
UniRef90_Q839G5	6367.7417783900
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	4842.0457290888
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1525.6960493012
UniRef90_A0A0R2HNF4	6172.2690069499
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	4798.6156994731
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1373.6533074768
UniRef90_F4BNZ2	5514.9267399268
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	3648.1684981685
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1866.7582417583
UniRef90_A0A0R2J234	5477.2812612791
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	3526.4383218936
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1950.8429393855
UniRef90_Q836X6	4820.6965489414
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	3555.6842603240
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1265.0122886174
UniRef90_A0A0R2J142	4770.2857142857
UniRef90_A0A0R2J142|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4770.2857142857
UniRef90_F4BR24	4559.8675309913
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	3751.6815103179
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	808.1860206734
UniRef90_F4BR38	4409.9184481960
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	3409.9184481960
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1000.0000000000
UniRef90_A0A0R2KLY7	4353.7148131056
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	3580.9362662154
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	772.7785468902
UniRef90_A0A0R2KGR4	4346.0924072389
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	3054.0188049743
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1292.0736022647
UniRef90_A0A175CUC8	4334.3434343434
UniRef90_A0A175CUC8|g__Leuconostoc.s__Leuconostoc_gelidum	4334.3434343434
UniRef90_A0A0R2J1Q1	4178.3008771895
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	3244.2417876243
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	934.0590895652
UniRef90_A0A0R2HWA8	4063.6954599146
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	2896.9783149662
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1166.7171449484
UniRef90_H1WN81	3754.0952380952
UniRef90_H1WN81|g__Leuconostoc.s__Leuconostoc_gelidum	3754.0952380952
UniRef90_Q03D56	3683.3333333333
UniRef90_Q03D56|g__Leuconostoc.s__Leuconostoc_gelidum	3683.3333333333
UniRef90_K8EVY6	3380.8754146096
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_divergens	2396.6474518340
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	984.2279627756
UniRef90_P66145	3342.4171601570
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_divergens	2324.7956728103
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1017.6214873467
UniRef90_B9E9K1	3204.1164588702
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_divergens	2255.1252582944
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	948.9912005758
UniRef90_A0A0R2HX12	3088.0753968592
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_divergens	2541.8032501561
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_maltaromaticum	546.2721467031
UniRef90_C4KZQ9	2780.6919006919
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_divergens	2376.1334961335
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	404.5584045584
UniRef90_P66421	2450.4504504505
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_divergens	1972.9729729730
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_maltaromaticum	477.4774774775
UniRef90_A0A0U2VN98	2428.6843041536
UniRef90_A0A0U2VN98|g__Carnobacterium.s__Carnobacterium_divergens	2428.6843041536
UniRef90_A0A0R2HPK8	2413.2343316209
UniRef90_A0A0R2HPK8|g__Carnobacterium.s__Carnobacterium_divergens	2413.2343316209
UniRef90_A0A0R2J9S4	2412.4185330015
UniRef90_A0A0R2J9S4|g__Carnobacterium.s__Carnobacterium_divergens	1924.4460244105
UniRef90_A0A0R2J9S4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	487.9725085911
UniRef90_A0A0R2I0E2	2310.5849951008
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_divergens	2066.6772596065
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	243.9077354943
UniRef90_UPI000704A2DC	2234.9063150590
UniRef90_UPI000704A2DC|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2234.9063150590
UniRef90_A0A0R2HNW1	2159.0207725080
UniRef90_A0A0R2HNW1|g__Carnobacterium.s__Carnobacterium_divergens	2159.0207725080
UniRef90_A0A0R2HXQ4	2154.8479692581
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	2154.8479692581
