# Gene Family	A04_Abundance-RPKs
UNMAPPED	4425654.0000000000
UniRef90_Q03D56	1333.6158192090
UniRef90_Q03D56|g__Leuconostoc.s__Leuconostoc_gelidum	1333.6158192090
UniRef90_A0A2R8A0C5	1000.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	1000.0000000000
UniRef90_A0A175CUC8	911.1111111111
UniRef90_A0A175CUC8|g__Leuconostoc.s__Leuconostoc_gelidum	911.1111111111
UniRef90_B1MW10	357.5113737630
UniRef90_B1MW10|g__Leuconostoc.s__Leuconostoc_gelidum	357.5113737630
UniRef90_H1WN81	301.6507936508
UniRef90_H1WN81|g__Leuconostoc.s__Leuconostoc_gelidum	301.6507936508
UniRef90_Q03ZM1	269.2410751092
UniRef90_Q03ZM1|g__Leuconostoc.s__Leuconostoc_gelidum	269.2410751092
UniRef90_Q03ZN8	233.0470754569
UniRef90_Q03ZN8|g__Leuconostoc.s__Leuconostoc_gelidum	233.0470754569
UniRef90_A0A0R2HX25	230.1587301587
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	230.1587301587
UniRef90_Q03ZN9	202.6828774746
UniRef90_Q03ZN9|g__Leuconostoc.s__Leuconostoc_gelidum	202.6828774746
UniRef90_B1MW15	192.3260335278
UniRef90_B1MW15|g__Leuconostoc.s__Leuconostoc_gelidum	192.3260335278
UniRef90_J9YLB7	181.8181818182
UniRef90_J9YLB7|g__Leuconostoc.s__Leuconostoc_gelidum	181.8181818182
UniRef90_A0A0U3MP38	173.7089201878
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	173.7089201878
UniRef90_D5T3F7	169.9346405229
UniRef90_D5T3F7|g__Leuconostoc.s__Leuconostoc_gelidum	169.9346405229
UniRef90_B1MYA3	162.1621621622
UniRef90_B1MYA3|g__Leuconostoc.s__Leuconostoc_gelidum	162.1621621622
UniRef90_B1MW06	159.0909090909
UniRef90_B1MW06|g__Leuconostoc.s__Leuconostoc_gelidum	159.0909090909
UniRef90_Q03ZP4	158.4866380092
UniRef90_Q03ZP4|g__Leuconostoc.s__Leuconostoc_gelidum	158.4866380092
UniRef90_Q839G5	153.8461538462
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	153.8461538462
UniRef90_Q03ZP5	152.7120603232
UniRef90_Q03ZP5|g__Leuconostoc.s__Leuconostoc_gelidum	152.7120603232
UniRef90_B1MVU3	152.1114275674
UniRef90_B1MVU3|g__Leuconostoc.s__Leuconostoc_gelidum	152.1114275674
UniRef90_Q04GL9	142.8571428571
UniRef90_Q04GL9|g__Leuconostoc.s__Leuconostoc_gelidum	142.8571428571
UniRef90_A0A0R2J234	142.0765027322
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	142.0765027322
UniRef90_Q03ZM7	136.1111111111
UniRef90_Q03ZM7|g__Leuconostoc.s__Leuconostoc_gelidum	136.1111111111
UniRef90_D5T3M8	127.7258566978
UniRef90_D5T3M8|g__Leuconostoc.s__Leuconostoc_gelidum	127.7258566978
UniRef90_B1MVU1	127.1477663230
UniRef90_B1MVU1|g__Leuconostoc.s__Leuconostoc_gelidum	127.1477663230
UniRef90_Q03ZM9	125.0053708000
UniRef90_Q03ZM9|g__Leuconostoc.s__Leuconostoc_gelidum	125.0053708000
UniRef90_D5T403	124.4642857143
UniRef90_D5T403|g__Leuconostoc.s__Leuconostoc_gelidum	124.4642857143
UniRef90_Q03ZH6	110.2564102564
UniRef90_Q03ZH6|g__Leuconostoc.s__Leuconostoc_gelidum	110.2564102564
UniRef90_K0DBC7	104.7619047619
UniRef90_K0DBC7|g__Leuconostoc.s__Leuconostoc_gelidum	104.7619047619
UniRef90_F4BR24	103.7735849057
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	103.7735849057
UniRef90_Q03ZM2	101.0101010101
UniRef90_Q03ZM2|g__Leuconostoc.s__Leuconostoc_gelidum	101.0101010101
UniRef90_A0A0R2J1Q1	99.8217468806
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	99.8217468806
UniRef90_A0A7R8ZB76	94.4197026985
UniRef90_A0A7R8ZB76|g__Rahnella.s__Rahnella_inusitata	94.4197026985
UniRef90_Q8ZJA4	94.0170940171
UniRef90_Q8ZJA4|g__Rahnella.s__Rahnella_inusitata	94.0170940171
UniRef90_I0QLS6	92.0634920635
UniRef90_I0QLS6|g__Rahnella.s__Rahnella_inusitata	92.0634920635
UniRef90_Q1WS97	91.6666666667
