# Gene Family	A12_Abundance-RPKs
UNMAPPED	3288037.0000000000
UniRef90_A0A2R8A0C5	41500.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	41500.0000000000
UniRef90_A0A0U3MP38	5082.1817177577
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	4105.6558961614
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	976.5258215962
UniRef90_Q839G5	4457.3016397051
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	3431.6606140641
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1025.6410256410
UniRef90_A0A0R2HX25	4452.7629288275
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	4452.7629288275
UniRef90_A0A0R2J234	4229.5381848152
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	2856.1053275364
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1373.4328572787
UniRef90_Q1WS97	3866.7053543795
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	2208.3410708759
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1658.3642835036
UniRef90_A0A0R2JAD9	3174.1791044776
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	2174.1791044776
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1000.0000000000
UniRef90_A0A0R2HNF4	3076.9770440109
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	2395.6178625296
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	681.3591814813
UniRef90_F4BNZ2	3000.2765034319
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	2171.6134997689
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	828.6630036630
UniRef90_F4BR24	2940.3905157343
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	2333.4425166073
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	606.9479991270
UniRef90_Q836X6	2888.9805949892
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	2230.8425956495
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	658.1379993397
UniRef90_A0A0R2J1Q1	2868.1181563535
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	2385.0490196079
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	483.0691367456
UniRef90_P0A356	2619.0476190476
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2619.0476190476
UniRef90_A0A0R2HWA8	2406.5090398429
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	1707.9274795592
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	698.5815602837
UniRef90_K8EVY6	2332.1114180998
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_divergens	1668.0346054627
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	664.0768126371
UniRef90_A0A0R2KLY7	2328.3597395273
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	1813.1569502128
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	515.2027893145
UniRef90_A0A0R2KGR4	2292.0837124659
