# Gene Family	A06_Abundance-RPKs
UNMAPPED	3153927.0000000000
UniRef90_A0A2R8A0C5	1000.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	1000.0000000000
UniRef90_Q839G5	222.2222222222
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	188.0341880342
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	34.1880341880
UniRef90_A0A0R2J234	202.1891162432
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	134.7905282332
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	67.3985880101
UniRef90_A0A0U3MP38	183.0985915493
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	136.1502347418
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	46.9483568075
UniRef90_P0A356	126.9841269841
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	126.9841269841
UniRef90_A0A7R8ZB76	105.3122518105
UniRef90_A0A7R8ZB76|g__Rahnella.s__Rahnella_inusitata	105.3122518105
UniRef90_K8EVY6	104.0964885751
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_divergens	72.4672444301
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	31.6292441450
UniRef90_A0A0R2HX25	103.1746031746
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	103.1746031746
UniRef90_A0A0R2J142	103.1746031746
UniRef90_A0A0R2J142|g__Carnobacterium.s__Carnobacterium_maltaromaticum	103.1746031746
UniRef90_Q1WS97	102.7777777778
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	69.4444444444
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	33.3333333333
UniRef90_A0A0R2HNF4	102.5641025641
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	65.9340659341
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	36.6300366300
UniRef90_A0A0R2J1Q1	99.8249299720
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	71.3012477718
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	28.5236822002
UniRef90_F4BR24	97.4842767296
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	75.4716981132
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	22.0125786164
UniRef90_Q8ZJ91	95.8188153310
UniRef90_Q8ZJ91|g__Rahnella.s__Rahnella_inusitata	95.8188153310
UniRef90_A0A0R2KGR4	95.2380952381
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	53.9682539683
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	41.2698412698
UniRef90_A0A0R2KLY7	90.9090909091
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	55.5555555556
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	35.3535353535
UniRef90_UPI000704A2DC	90.9090909091
UniRef90_UPI000704A2DC|g__Carnobacterium.s__Carnobacterium_maltaromaticum	90.9090909091
UniRef90_Q836X6	89.7435897436
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	55.5555555556
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	34.1880341880
UniRef90_Q8ZDZ6	86.4197530864
UniRef90_Q8ZDZ6|g__Rahnella.s__Rahnella_inusitata	86.4197530864
UniRef90_P0A7R9	85.7142857143
UniRef90_P0A7R9|g__Rahnella.s__Rahnella_inusitata	85.7142857143
UniRef90_Q8ZJA4	85.4700854701
UniRef90_Q8ZJA4|g__Rahnella.s__Rahnella_inusitata	85.4700854701
UniRef90_Q38UR1	81.1965811966
UniRef90_Q38UR1|g__Lactobacillus.s__Lactobacillus_sakei	81.1965811966
UniRef90_I0QLS6	76.1904761905
UniRef90_I0QLS6|g__Rahnella.s__Rahnella_inusitata	76.1904761905
UniRef90_Q2NQU2	74.0740740741
UniRef90_Q2NQU2|g__Rahnella.s__Rahnella_inusitata	74.0740740741
UniRef90_A0A0R2HWA8	72.8229874973
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	51.5463917526
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	21.2765957447
UniRef90_A8AQM1	71.7299578059
UniRef90_A8AQM1|g__Rahnella.s__Rahnella_inusitata	71.7299578059
UniRef90_A0A484ZC93	69.7674418605
UniRef90_A0A484ZC93|g__Rahnella.s__Rahnella_inusitata	69.7674418605
UniRef90_F4BR38	68.3060109290
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	49.1803278689
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	19.1256830601
UniRef90_F4BNZ2	66.6666666667
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	38.0952380952
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	28.5714285714
