# Gene Family	A26_Abundance-RPKs
UNMAPPED	3052526.0000000000
UniRef90_A0A2R8A0C5	242500.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	242500.0000000000
UniRef90_A0A0R2JAD9	97872.5142030616
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	78971.7415435153
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	18900.7726595463
UniRef90_P0A356	67818.9913454024
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	67818.9913454024
UniRef90_A0A0R2HX25	46240.0655401971
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	46240.0655401971
UniRef90_A0A0R2HNF4	30971.6658874755
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	24985.8869605200
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5985.7789269555
UniRef90_A0A175CUC8	30002.0202020207
UniRef90_A0A175CUC8|g__Leuconostoc.s__Leuconostoc_gelidum	30002.0202020207
UniRef90_F4BNZ2	29068.4981684975
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	19210.5311355306
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	9857.9670329669
UniRef90_A0A0R2JH05	27954.1520771310
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_divergens	19548.4723750825
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_maltaromaticum	8405.6797020485
UniRef90_A0A0U2VN98	24201.6779632533
UniRef90_A0A0U2VN98|g__Carnobacterium.s__Carnobacterium_divergens	24201.6779632533
UniRef90_A0A0U3MP38	21373.5380884980
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	16000.2543868440
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5373.2837016539
UniRef90_Q1WS97	18239.9491487136
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	12423.1895883099
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5816.7595604037
UniRef90_A0A0R2HXI1	18023.8008720931
UniRef90_A0A0R2HXI1|g__Carnobacterium.s__Carnobacterium_divergens	18023.8008720931
UniRef90_A0A0R2HXQ4	17985.0550665959
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	17985.0550665959
UniRef90_Q836X6	17868.2559670603
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	13376.4723572509
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4491.7836098094
UniRef90_Q839G5	17436.3197583001
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	12487.5651271420
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4948.7546311581
