# Gene Family	A05_Abundance-RPKs
UNMAPPED	3557145.0000000000
UniRef90_A0A2R8A0C5	500.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	500.0000000000
UniRef90_Q1WS97	155.5555555556
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	83.3333333333
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	72.2222222222
UniRef90_A0A0R2J234	151.1872947496
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	83.7887067395
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	67.3985880101
UniRef90_A0A0U3MP38	140.8450704225
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	98.5915492958
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	42.2535211268
UniRef90_Q836X6	111.1294523312
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	64.1025641026
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	47.0268882286
UniRef90_F4BR24	103.7735849057
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	88.0503144654
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	15.7232704403
UniRef90_A0A0R2HX25	87.3015873016
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	87.3015873016
UniRef90_A0A0R2J142	87.3015873016
UniRef90_A0A0R2J142|g__Carnobacterium.s__Carnobacterium_maltaromaticum	87.3015873016
UniRef90_A0A0R2J1Q1	78.4313725490
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	67.7361853832
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	10.6951871658
UniRef90_Q839G5	76.9230769231
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	51.2820512821
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	25.6410256410
UniRef90_A0A0R2JAD9	74.6268656716
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	39.8009950249
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	34.8258706468
UniRef90_K8EVY6	72.4724726962
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_divergens	46.1220115631
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	26.3504611331
UniRef90_UPI000704A2DC	68.1818181818
UniRef90_UPI000704A2DC|g__Carnobacterium.s__Carnobacterium_maltaromaticum	68.1818181818
UniRef90_A0A0R2KLY7	65.6565656566
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	50.5050505051
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	15.1515151515
UniRef90_A0A0R2KGR4	63.4920634921
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	38.0952380952
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	25.3968253968
UniRef90_A0A0R2HWA8	62.2943627989
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	48.1099656357
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	14.1843971631
UniRef90_A0A0R2HNF4	47.6190476190
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	32.9670329670
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	14.6520146520
UniRef90_A0A0R2HX12	46.7205750225
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_divergens	35.0404312668
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_maltaromaticum	11.6801437556
UniRef90_F4BR38	46.4480874317
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	30.0546448087
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	16.3934426230
UniRef90_A0A0R2J1N0	43.2947385225
UniRef90_A0A0R2J1N0|g__Carnobacterium.s__Carnobacterium_divergens	36.8012320290
UniRef90_A0A0R2J1N0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6.4935064935
UniRef90_P0A356	39.6825396825
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	39.6825396825
UniRef90_B9E9K1	37.4149659864
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_divergens	30.6122448980
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6.8027210884
UniRef90_A0A0R2I0E2	37.3983739837
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_divergens	32.5203252033
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4.8780487805
UniRef90_Q9F0R4	35.3982300885
UniRef90_Q9F0R4|g__Carnobacterium.s__Carnobacterium_divergens	35.3982300885
UniRef90_P66145	35.0877192982
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_divergens	17.5438596491
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_maltaromaticum	17.5438596491
UniRef90_C4KZQ9	34.1880341880
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_divergens	28.4900284900
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5.6980056980
UniRef90_Q82YU9	33.3333333333
UniRef90_Q82YU9|g__Carnobacterium.s__Carnobacterium_divergens	33.3333333333
UniRef90_A0A0R2I789	32.8638497653
UniRef90_A0A0R2I789|g__Carnobacterium.s__Carnobacterium_divergens	32.8638497653
UniRef90_A0A0R2I3M9	32.6460481100
UniRef90_A0A0R2I3M9|g__Carnobacterium.s__Carnobacterium_divergens	32.6460481100
UniRef90_A0A0U2VN98	31.7460317460
UniRef90_A0A0U2VN98|g__Carnobacterium.s__Carnobacterium_divergens	31.7460317460
UniRef90_A0A0R2J9S4	30.9278350515
UniRef90_A0A0R2J9S4|g__Carnobacterium.s__Carnobacterium_divergens	24.0549828179
UniRef90_A0A0R2J9S4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6.8728522337
UniRef90_A8FFC6	30.3030303030
UniRef90_A8FFC6|g__Carnobacterium.s__Carnobacterium_divergens	20.2020202020
UniRef90_A8FFC6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	10.1010101010
UniRef90_A0A0R2J1L7	29.8850574713
UniRef90_A0A0R2J1L7|g__Carnobacterium.s__Carnobacterium_divergens	17.2413793103
UniRef90_A0A0R2J1L7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	12.6436781609
UniRef90_A0A0R2KAQ0	29.3822367981
UniRef90_A0A0R2KAQ0|g__Carnobacterium.s__Carnobacterium_divergens	19.4319880419
UniRef90_A0A0R2KAQ0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	9.9502487562
UniRef90_A0A0U3MDW1	28.5714285714
UniRef90_A0A0U3MDW1|g__Carnobacterium.s__Carnobacterium_divergens	28.5714285714
UniRef90_F4BNZ2	28.5714285714
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	19.0476190476
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	9.5238095238
UniRef90_A0A0R2KAN2	28.3687943262
UniRef90_A0A0R2KAN2|g__Carnobacterium.s__Carnobacterium_divergens	14.1843971631
UniRef90_A0A0R2KAN2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	14.1843971631
UniRef90_A0A2G3NZR0	25.6410256410
UniRef90_A0A2G3NZR0|g__Carnobacterium.s__Carnobacterium_divergens	25.6410256410
UniRef90_A0A0R2HXQ4	24.7311827957
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	24.7311827957
UniRef90_Q837C9	24.6085011186
UniRef90_Q837C9|g__Carnobacterium.s__Carnobacterium_divergens	24.6085011186
UniRef90_A0A0R2KAJ4	24.0549828179
UniRef90_A0A0R2KAJ4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	24.0549828179
UniRef90_A0A0U3E3W6	23.8095238095
UniRef90_A0A0U3E3W6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	15.8730158730
UniRef90_A0A0U3E3W6|g__Carnobacterium.s__Carnobacterium_divergens	7.9365079365
UniRef90_A0A2R8A243	23.8095238095
UniRef90_A0A2R8A243|g__Carnobacterium.s__Carnobacterium_divergens	23.8095238095
UniRef90_Q836X4	23.4741784038
UniRef90_Q836X4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	23.4741784038
UniRef90_A0A0R2HNW1	23.2558139535
UniRef90_A0A0R2HNW1|g__Carnobacterium.s__Carnobacterium_divergens	23.2558139535
UniRef90_S0K1G2	22.3367697595
UniRef90_S0K1G2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	22.3367697595
UniRef90_A0A0R2JIP5	21.7391304348
UniRef90_A0A0R2JIP5|g__Carnobacterium.s__Carnobacterium_divergens	21.7391304348
UniRef90_A0A0R2JB88	21.1640211640
UniRef90_A0A0R2JB88|g__Carnobacterium.s__Carnobacterium_maltaromaticum	21.1640211640
UniRef90_A0A0R2JA02	20.5128205128
UniRef90_A0A0R2JA02|g__Carnobacterium.s__Carnobacterium_divergens	20.5128205128
UniRef90_A0A0R2HW67	19.6078431373
UniRef90_A0A0R2HW67|g__Carnobacterium.s__Carnobacterium_maltaromaticum	19.6078431373
UniRef90_A0A0R2KF71	19.0476190476
UniRef90_A0A0R2KF71|g__Carnobacterium.s__Carnobacterium_maltaromaticum	19.0476190476
UniRef90_A0A0R2J9N5	18.8323917137
UniRef90_A0A0R2J9N5|g__Carnobacterium.s__Carnobacterium_divergens	16.9491525424
UniRef90_A0A0R2J9N5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1.8832391714
UniRef90_A0A0R2I6A3	18.5185185185
UniRef90_A0A0R2I6A3|g__Carnobacterium.s__Carnobacterium_divergens	18.5185185185
UniRef90_A0A2R7ZUA5	18.5185185185
UniRef90_A0A2R7ZUA5|g__Carnobacterium.s__Carnobacterium_divergens	18.5185185185
UniRef90_F4BR43	18.5185185185
UniRef90_F4BR43|g__Carnobacterium.s__Carnobacterium_divergens	12.3456790123
UniRef90_F4BR43|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6.1728395062
UniRef90_A0A0R2HXW1	17.1821305842
UniRef90_A0A0R2HXW1|g__Carnobacterium.s__Carnobacterium_divergens	17.1821305842
UniRef90_A0A0R2I4W6	16.4319248826
UniRef90_A0A0R2I4W6|g__Carnobacterium.s__Carnobacterium_divergens	16.4319248826
UniRef90_A0A0R2HY92	16.4234672431
UniRef90_A0A0R2HY92|g__Carnobacterium.s__Carnobacterium_maltaromaticum	10.9289617486
UniRef90_A0A0R2HY92|g__Carnobacterium.s__Carnobacterium_divergens	5.4945054945
UniRef90_A0A0R2HW77	16.4203612479
UniRef90_A0A0R2HW77|g__Carnobacterium.s__Carnobacterium_divergens	16.4203612479
UniRef90_A0A0R2HNK9	16.2601626016
UniRef90_A0A0R2HNK9|g__Carnobacterium.s__Carnobacterium_divergens	16.2601626016
UniRef90_A0A0R2J8X6	15.7068062827
UniRef90_A0A0R2J8X6|g__Carnobacterium.s__Carnobacterium_divergens	15.7068062827
UniRef90_Q839F2	15.0537634409
UniRef90_Q839F2|g__Carnobacterium.s__Carnobacterium_divergens	15.0537634409
UniRef90_A0A0R2HWG5	14.1242937853
UniRef90_A0A0R2HWG5|g__Carnobacterium.s__Carnobacterium_divergens	14.1242937853
UniRef90_A0A0R2HWX2	13.9230139230
UniRef90_A0A0R2HWX2|g__Carnobacterium.s__Carnobacterium_divergens	13.9230139230
UniRef90_A0A0R2JER6	13.9121338912
UniRef90_A0A0R2JER6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	8.3333333333
UniRef90_A0A0R2JER6|g__Carnobacterium.s__Carnobacterium_divergens	5.5788005579
UniRef90_F4BRU5	13.3333333333
UniRef90_F4BRU5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	13.3333333333
UniRef90_A0A2N5JDE8	12.5707773765
UniRef90_A0A2N5JDE8|g__Carnobacterium.s__Carnobacterium_divergens	9.1402456441
UniRef90_A0A2N5JDE8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3.4305317324
UniRef90_A0A0R2I1G6	12.2547262507
UniRef90_A0A0R2I1G6|g__Carnobacterium.s__Carnobacterium_divergens	8.7897227857
UniRef90_A0A0R2I1G6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3.4650034650
UniRef90_A0A0R2KDV0	11.9047619048
UniRef90_A0A0R2KDV0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	11.9047619048
UniRef90_A0A0R2I517	11.2994350282
UniRef90_A0A0R2I517|g__Carnobacterium.s__Carnobacterium_divergens	11.2994350282
UniRef90_A0A0R2IMT3	10.9965635739
UniRef90_A0A0R2IMT3|g__Carnobacterium.s__Carnobacterium_maltaromaticum	10.9965635739
UniRef90_A0A0R2KJ77	10.4166666667
UniRef90_A0A0R2KJ77|g__Carnobacterium.s__Carnobacterium_divergens	5.2083333333
UniRef90_A0A0R2KJ77|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5.2083333333
UniRef90_A0A0R2HYI2	9.9800399202
UniRef90_A0A0R2HYI2|g__Carnobacterium.s__Carnobacterium_divergens	9.9800399202
UniRef90_A0A0R2J2K8	9.5238095238
UniRef90_A0A0R2J2K8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	9.5238095238
