# Pathway	A20_Abundance
UNMAPPED	286130.0979987430
UNINTEGRATED	105321.4047426710
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_divergens	101911.8284574667
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_maltaromaticum	30211.6883731901
UNINTEGRATED|g__Leuconostoc.s__Leuconostoc_gelidum	10024.3743681195
PWY-1042: glycolysis IV	775.4110298987
PWY-1042: glycolysis IV|g__Carnobacterium.s__Carnobacterium_maltaromaticum	422.3634748140
PWY0-1296: purine ribonucleosides degradation	504.4310240736
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_divergens	448.3418900804
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_maltaromaticum	52.7204690166
PWY-7221: guanosine ribonucleotides de novo biosynthesis	479.1966248871
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_divergens	264.4862795288
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_maltaromaticum	108.6695742492
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Leuconostoc.s__Leuconostoc_gelidum	18.8399780948
PWY-6609: adenine and adenosine salvage III	359.2198958455
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_divergens	233.0419068514
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_maltaromaticum	65.3989466158
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	290.0149495425
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Carnobacterium.s__Carnobacterium_divergens	208.1271293069
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Carnobacterium.s__Carnobacterium_maltaromaticum	57.4065126933
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Leuconostoc.s__Leuconostoc_gelidum	18.7038712682
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	280.1668260208
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Carnobacterium.s__Carnobacterium_divergens	233.5727681721
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Carnobacterium.s__Carnobacterium_maltaromaticum	29.2098066645
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	243.5240690381
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Carnobacterium.s__Carnobacterium_divergens	216.5510463002
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	240.6129913995
