# Gene Family	A19_Abundance-RPKs
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_divergens	3573.2094650874
UniRef90_K8EVY6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	992.1643879428
UniRef90_Q82YU9	4534.4632768361
UniRef90_Q82YU9|g__Carnobacterium.s__Carnobacterium_divergens	4117.7966101695
UniRef90_Q82YU9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	416.6666666667
UniRef90_P66421	4495.4954954955
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_divergens	3684.6846846847
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_maltaromaticum	810.8108108108
UniRef90_A0A0R2HX12	4464.5483248995
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_divergens	3896.7120278993
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_maltaromaticum	567.8362970001
UniRef90_A0A0R2HPK8	4455.4212064842
UniRef90_A0A0R2HPK8|g__Carnobacterium.s__Carnobacterium_divergens	4455.4212064842
UniRef90_A0A0R2HNW1	4186.0917564022
UniRef90_A0A0R2HNW1|g__Carnobacterium.s__Carnobacterium_divergens	4186.0917564022
UniRef90_A0A0R2HX95	3885.1485640464
UniRef90_A0A0R2HX95|g__Carnobacterium.s__Carnobacterium_divergens	3885.1485640464
UniRef90_Q5L3R6	3854.3123543123
UniRef90_Q5L3R6|g__Carnobacterium.s__Carnobacterium_divergens	2486.2567987568
UniRef90_Q5L3R6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1368.0555555556
UniRef90_Q9F0R4	3829.0308936581
UniRef90_Q9F0R4|g__Carnobacterium.s__Carnobacterium_divergens	3829.0308936581
UniRef90_A0A0R2J9S4	3632.3972854653
UniRef90_A0A0R2J9S4|g__Carnobacterium.s__Carnobacterium_divergens	3240.6210086552
UniRef90_A0A0R2J9S4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	391.7762768100
UniRef90_A0A0R2HUQ6	3541.4407680659
UniRef90_A0A0R2HUQ6|g__Carnobacterium.s__Carnobacterium_divergens	3541.4407680659
UniRef90_A0A0R2HWX2	3529.9089711744
UniRef90_A0A0R2HWX2|g__Carnobacterium.s__Carnobacterium_divergens	3529.9089711744
UniRef90_A0A0U3MDW1	3495.2380952381
UniRef90_A0A0U3MDW1|g__Carnobacterium.s__Carnobacterium_divergens	3495.2380952381
UniRef90_Q8ZDZ6	3493.9421823479
UniRef90_Q8ZDZ6|g__Vagococcus.s__Vagococcus_proximus	3493.9421823479
UniRef90_A8FFC6	3454.8546691404
UniRef90_A8FFC6|g__Carnobacterium.s__Carnobacterium_divergens	2232.5293753865
UniRef90_A8FFC6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1222.3252937539
UniRef90_A0A0R2HZM5	3444.5181255526
UniRef90_A0A0R2HZM5|g__Carnobacterium.s__Carnobacterium_divergens	3444.5181255526
UniRef90_A0A0R2HXW1	3400.0132365053
UniRef90_A0A0R2HXW1|g__Carnobacterium.s__Carnobacterium_divergens	3400.0132365053
UniRef90_UPI000704A2DC	3386.5976469829
UniRef90_UPI000704A2DC|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3386.5976469829
UniRef90_A0A0R2IU38	3227.3175110353
UniRef90_A0A0R2IU38|g__Carnobacterium.s__Carnobacterium_divergens	2896.5094302272
UniRef90_A0A0R2IU38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	330.8080808081
UniRef90_A0A0R2I3M9	3106.5765678649
UniRef90_A0A0R2I3M9|g__Carnobacterium.s__Carnobacterium_divergens	3106.5765678649
UniRef90_A0A0R2KAQ0	2888.8489872303
UniRef90_A0A0R2KAQ0|g__Carnobacterium.s__Carnobacterium_divergens	2191.3348156799
UniRef90_A0A0R2KAQ0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	697.5141715504
UniRef90_A0A0R2JFV2	2773.4725781194
UniRef90_A0A0R2JFV2|g__Carnobacterium.s__Carnobacterium_divergens	2693.4725781194
UniRef90_A0A0R2JFV2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	80.0000000000
UniRef90_S4ECE0	2704.2946202779
UniRef90_S4ECE0|g__Carnobacterium.s__Carnobacterium_divergens	2419.9443261653
UniRef90_S4ECE0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	284.3502941126
UniRef90_A0A0R2JIP5	2637.8398392045
UniRef90_A0A0R2JIP5|g__Carnobacterium.s__Carnobacterium_divergens	2427.6949116683
UniRef90_A0A0R2JIP5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	210.1449275362
UniRef90_A0A0R2KAN2	2567.3885060953
UniRef90_A0A0R2KAN2|g__Carnobacterium.s__Carnobacterium_divergens	2099.3033997123
UniRef90_A0A0R2KAN2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	468.0851063830
UniRef90_B1MYA3	2513.5954135954
UniRef90_B1MYA3|g__Leuconostoc.s__Leuconostoc_gelidum	2513.5954135954
UniRef90_A0A0R2J1N0	2510.8506822173
UniRef90_A0A0R2J1N0|g__Carnobacterium.s__Carnobacterium_divergens	2034.6555107944
UniRef90_A0A0R2J1N0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	476.1951714229
UniRef90_Q836X4	2328.6606431039
UniRef90_Q836X4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2328.6606431039
UniRef90_Q837C9	2214.8002126784
UniRef90_Q837C9|g__Carnobacterium.s__Carnobacterium_divergens	2214.8002126784
UniRef90_A0A0R2JIV5	2182.7742307599
UniRef90_A0A0R2JIV5|g__Carnobacterium.s__Carnobacterium_divergens	1928.3818442299
UniRef90_A0A0R2JIV5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	254.3923865300
UniRef90_A0A0R2HNK9	2173.4859597737
UniRef90_A0A0R2HNK9|g__Carnobacterium.s__Carnobacterium_divergens	2173.4859597737
UniRef90_A0A0R2I6A3	2148.1642605482
UniRef90_A0A0R2I6A3|g__Carnobacterium.s__Carnobacterium_divergens	2148.1642605482
UniRef90_F4BR31	2013.0933247616
UniRef90_F4BR31|g__Carnobacterium.s__Carnobacterium_divergens	2013.0933247616
UniRef90_A0A0U3DSR8	2000.1400560224
UniRef90_A0A0U3DSR8|g__Carnobacterium.s__Carnobacterium_divergens	1525.0700280112
UniRef90_A0A0U3DSR8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	475.0700280112
UniRef90_O07125	2000.0545375218
UniRef90_O07125|g__Carnobacterium.s__Carnobacterium_divergens	1750.0545375218
UniRef90_O07125|g__Carnobacterium.s__Carnobacterium_maltaromaticum	250.0000000000
UniRef90_F4BR43	1959.9434315636
UniRef90_F4BR43|g__Carnobacterium.s__Carnobacterium_divergens	1799.4400489240
UniRef90_F4BR43|g__Carnobacterium.s__Carnobacterium_maltaromaticum	160.5033826396
UniRef90_A0A0R2I6A7	1940.3534789200
UniRef90_A0A0R2I6A7|g__Carnobacterium.s__Carnobacterium_divergens	1940.3534789200
UniRef90_A0A0R2I789	1939.0002761668
UniRef90_A0A0R2I789|g__Carnobacterium.s__Carnobacterium_divergens	1939.0002761668
UniRef90_A0A0R2HW05	1934.6022844287
UniRef90_A0A0R2HW05|g__Carnobacterium.s__Carnobacterium_divergens	1934.6022844287
UniRef90_A0A0R2J1L7	1928.7515076176
UniRef90_A0A0R2J1L7|g__Carnobacterium.s__Carnobacterium_divergens	1604.6122538843
UniRef90_A0A0R2J1L7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	324.1392537333
UniRef90_A0A0R2HXL8	1923.7654979303
UniRef90_A0A0R2HXL8|g__Carnobacterium.s__Carnobacterium_divergens	1719.0325354582
UniRef90_A0A0R2HXL8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	204.7329624722
UniRef90_A0A848MK01	1911.2769485904
UniRef90_A0A848MK01|g__Vagococcus.s__Vagococcus_proximus	1911.2769485904
UniRef90_A0A0R2HW67	1907.0317782285
UniRef90_A0A0R2HW67|g__Carnobacterium.s__Carnobacterium_divergens	1465.8553076403
UniRef90_A0A0R2HW67|g__Carnobacterium.s__Carnobacterium_maltaromaticum	441.1764705882
UniRef90_A0A0R2J719	1784.8816419938
UniRef90_A0A0R2J719|g__Carnobacterium.s__Carnobacterium_divergens	1506.4006293356
UniRef90_A0A0R2J719|g__Carnobacterium.s__Carnobacterium_maltaromaticum	278.4810126582
UniRef90_A0A0R2HWM8	1738.8671643560
UniRef90_A0A0R2HWM8|g__Carnobacterium.s__Carnobacterium_divergens	1738.8671643560
UniRef90_A0A0R2HUT8	1718.2913988118
UniRef90_A0A0R2HUT8|g__Carnobacterium.s__Carnobacterium_divergens	1718.2913988118
UniRef90_K8E336	1695.1568834832
UniRef90_K8E336|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1695.1568834832
UniRef90_A0A0R2HUR4	1682.6385761092
UniRef90_A0A0R2HUR4|g__Carnobacterium.s__Carnobacterium_divergens	1682.6385761092
UniRef90_A0A0R2HUM7	1643.6993332545
UniRef90_A0A0R2HUM7|g__Carnobacterium.s__Carnobacterium_divergens	1643.6993332545
UniRef90_A0A0R2HND5	1587.7969259432
UniRef90_A0A0R2HND5|g__Carnobacterium.s__Carnobacterium_divergens	1587.7969259432
UniRef90_A0A0S3KDI4	1587.1131611873
