# Gene Family	A22_Abundance-RPKs
UNMAPPED	2541087.0000000000
UniRef90_A0A2R8A0C5	204833.3333333333
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	204833.3333333333
UniRef90_A0A0R2JAD9	100594.3044825888
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	81300.2746318411
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	19294.0298507477
UniRef90_P0A356	58676.7660010281
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	58676.7660010281
UniRef90_A0A0R2HX25	56987.6897580995
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	56987.6897580995
UniRef90_F4BNZ2	33963.7416505055
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	23620.4266321907
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	10343.3150183148
UniRef90_A0A0R2HNF4	27136.1641804049
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	21630.4003364057
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5505.7638439992
UniRef90_A0A0U2VN98	23767.9008681860
UniRef90_A0A0U2VN98|g__Carnobacterium.s__Carnobacterium_divergens	23767.9008681860
UniRef90_A0A0R2JH05	21917.1446600067
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_divergens	14989.1182405170
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_maltaromaticum	6928.0264194897
UniRef90_Q836X6	20363.8917094770
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_divergens	16218.4640175234
UniRef90_Q836X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4145.4276919536
UniRef90_A0A0U3MP38	19727.8653089457
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	15847.5172604264
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3880.3480485193
UniRef90_A0A0R2HND5	18368.8868188165
UniRef90_A0A0R2HND5|g__Carnobacterium.s__Carnobacterium_divergens	18368.8868188165
UniRef90_A0A0R2HXQ4	17459.2509323570
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	17459.2509323570
UniRef90_A0A0R2KLY7	17303.5181964121
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_divergens	15177.1786589050
UniRef90_A0A0R2KLY7|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2126.3395375071
UniRef90_P66421	17153.5626535625
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_divergens	13576.6584766583
UniRef90_P66421|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3576.9041769042
UniRef90_Q1WS97	15911.6764290285
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	11489.3378396254
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	4422.3385894031
UniRef90_F4BR38	15666.9289094440
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_divergens	12757.0778726897
UniRef90_F4BR38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2909.8510367542
UniRef90_P66145	15544.5582984006
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_divergens	12263.5460332244
UniRef90_P66145|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3281.0122651762
UniRef90_A0A0R2HXI1	15256.6637291706
UniRef90_A0A0R2HXI1|g__Carnobacterium.s__Carnobacterium_divergens	15256.6637291706
UniRef90_A0A0R2HWA8	15008.8643874644
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_divergens	12065.5767369760
UniRef90_A0A0R2HWA8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2943.2876504884
UniRef90_A0A0R2I517	14339.0809759509
UniRef90_A0A0R2I517|g__Carnobacterium.s__Carnobacterium_divergens	14339.0809759509
UniRef90_B9E9K1	14156.8226953006
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_divergens	10830.2108218823
UniRef90_B9E9K1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3326.6118734183
UniRef90_A0A0R2HWX2	12981.2012503618
UniRef90_A0A0R2HWX2|g__Carnobacterium.s__Carnobacterium_divergens	12981.2012503618
UniRef90_A0A0R2J142	12873.9703020988
UniRef90_A0A0R2J142|g__Carnobacterium.s__Carnobacterium_maltaromaticum	12873.9703020988
UniRef90_A0A0R2HUL4	12415.8858685496
UniRef90_A0A0R2HUL4|g__Carnobacterium.s__Carnobacterium_divergens	12415.8858685496
UniRef90_Q839G5	12414.7689848996
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	9735.2084405322
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2679.5605443675
UniRef90_A0A0R2HPK8	12338.2274780767
UniRef90_A0A0R2HPK8|g__Carnobacterium.s__Carnobacterium_divergens	12338.2274780767
UniRef90_A0A0R2HNW1	11992.5346122524
UniRef90_A0A0R2HNW1|g__Carnobacterium.s__Carnobacterium_divergens	11992.5346122524
UniRef90_A0A0R2KGR4	11838.3177271236
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_divergens	9174.7650024243
UniRef90_A0A0R2KGR4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2663.5527246992
UniRef90_A0A0R2HUQ6	11656.1265882551
UniRef90_A0A0R2HUQ6|g__Carnobacterium.s__Carnobacterium_divergens	11656.1265882551
UniRef90_A0A0R2J234	10491.8930481187
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	7457.2580659470
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	3034.6349821716
UniRef90_A0A0R2I0E2	10326.9405980140
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_divergens	9509.0411520144
UniRef90_A0A0R2I0E2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	817.8994459996
UniRef90_Q9F0R4	10321.7616702548
UniRef90_Q9F0R4|g__Carnobacterium.s__Carnobacterium_divergens	10321.7616702548
UniRef90_C4KZQ9	9689.7030762939
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_divergens	8929.0030355939
UniRef90_C4KZQ9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	760.7000407000
UniRef90_A0A0R2J1Q1	9650.7003028897
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	7128.4027361153
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2522.2975667743
UniRef90_A0A0R2IU38	9560.6892026352
UniRef90_A0A0R2IU38|g__Carnobacterium.s__Carnobacterium_divergens	8787.9619299079
UniRef90_A0A0R2IU38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	772.7272727273
UniRef90_O07125	9541.9950445119
UniRef90_O07125|g__Carnobacterium.s__Carnobacterium_divergens	8333.6617111786
UniRef90_O07125|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1208.3333333333
UniRef90_A0A0R2HZM5	9248.3053345123
UniRef90_A0A0R2HZM5|g__Carnobacterium.s__Carnobacterium_divergens	9248.3053345123
UniRef90_A0A0R2HXW1	9175.2851496888
UniRef90_A0A0R2HXW1|g__Carnobacterium.s__Carnobacterium_divergens	9175.2851496888
UniRef90_A0A0R2HX12	9061.1567524582
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_divergens	7547.2191155058
UniRef90_A0A0R2HX12|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1513.9376369524
UniRef90_Q5L3R6	8944.5422535210
UniRef90_Q5L3R6|g__Carnobacterium.s__Carnobacterium_divergens	6465.3755868544
UniRef90_Q5L3R6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	2479.1666666666
UniRef90_Q82YU9	8750.5649717515
UniRef90_Q82YU9|g__Carnobacterium.s__Carnobacterium_divergens	7600.2824858758
UniRef90_Q82YU9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1150.2824858757
UniRef90_F4BR24	8742.3270339798
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	7267.4445865064
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1474.8824474734
UniRef90_A0A0R2I6G8	8283.7914391949
UniRef90_A0A0R2I6G8|g__Carnobacterium.s__Carnobacterium_divergens	8283.7914391949
UniRef90_A0A0R2HX95	8276.0028965875
