# Gene Family	A10_Abundance-RPKs
UNMAPPED	3181231.0000000000
UniRef90_A0A2R8A0C5	5000.0000000000
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	5000.0000000000
UniRef90_A0A0U3MP38	1701.9221730680
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	1375.6255699197
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	326.2966031483
UniRef90_Q839G5	1564.1392465427
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_divergens	1141.0439822457
UniRef90_Q839G5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	423.0952642970
UniRef90_Q03D56	1550.0000000000
UniRef90_Q03D56|g__Leuconostoc.s__Leuconostoc_gelidum	1550.0000000000
UniRef90_A0A0R2J234	1519.1389786340
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_divergens	967.2197625410
UniRef90_A0A0R2J234|g__Carnobacterium.s__Carnobacterium_maltaromaticum	551.9192160930
UniRef90_A0A175CUC8	1444.4444444444
UniRef90_A0A175CUC8|g__Leuconostoc.s__Leuconostoc_gelidum	1444.4444444444
UniRef90_A0A0R2HX25	1309.6507936508
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	1309.6507936508
UniRef90_Q1WS97	1258.3642835036
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_divergens	822.2531723925
UniRef90_Q1WS97|g__Carnobacterium.s__Carnobacterium_maltaromaticum	436.1111111111
UniRef90_A0A0R2HNF4	1128.2185951304
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	1003.6764705882
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	124.5421245421
UniRef90_F4BNZ2	1123.9010989011
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	876.2820512821
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	247.6190476190
UniRef90_P0A356	1071.4285714286
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1071.4285714286
UniRef90_A0A0R2J1Q1	1010.7174688057
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_divergens	819.9866310160
UniRef90_A0A0R2J1Q1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	190.7308377897
UniRef90_F4BR24	955.9847628117
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_divergens	827.0539452017
UniRef90_F4BR24|g__Carnobacterium.s__Carnobacterium_maltaromaticum	128.9308176101
UniRef90_A0A0R2JAD9	955.2238805970
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	706.4676616915
