# Pathway	A27_Abundance
UNMAPPED	555815.0805979579
UNINTEGRATED	354843.4061006129
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_divergens	327595.9504696134
UNINTEGRATED|g__Vagococcus.s__Vagococcus_proximus	128350.5576353552
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_maltaromaticum	51689.2803486429
UNINTEGRATED|g__Leuconostoc.s__Leuconostoc_gelidum	41310.7491064694
PWY0-1296: purine ribonucleosides degradation	9705.5949948778
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_divergens	8751.5342558378
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_maltaromaticum	726.9724431852
PWY0-1296: purine ribonucleosides degradation|g__Vagococcus.s__Vagococcus_proximus	153.1844922462
PWY-1042: glycolysis IV	1977.5680741446
PWY-1042: glycolysis IV|g__Carnobacterium.s__Carnobacterium_maltaromaticum	928.2513066579
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	932.1005585011
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Carnobacterium.s__Carnobacterium_maltaromaticum	152.7594930042
PWY-6609: adenine and adenosine salvage III	920.8650699398
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_divergens	362.0994544096
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_maltaromaticum	181.6331223135
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	648.7263149172
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Carnobacterium.s__Carnobacterium_maltaromaticum	72.7022825706
PWY-7221: guanosine ribonucleotides de novo biosynthesis	641.2435619141
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_divergens	420.8042686814
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_maltaromaticum	115.8088236613
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Leuconostoc.s__Leuconostoc_gelidum	31.8674070244
CALVIN-PWY: Calvin-Benson-Bassham cycle	635.5640034216
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	612.0501797634
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Carnobacterium.s__Carnobacterium_divergens	446.0985496567
