# Pathway	A24_Abundance
UNMAPPED	490356.0490501426
UNINTEGRATED	320580.0517593931
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_divergens	270930.6579881558
UNINTEGRATED|g__Vagococcus.s__Vagococcus_proximus	93430.7398382299
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_maltaromaticum	44866.9750688238
UNINTEGRATED|g__Leuconostoc.s__Leuconostoc_gelidum	40541.7168406931
PWY0-1296: purine ribonucleosides degradation	6899.3732731976
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_divergens	6235.0082042169
PWY0-1296: purine ribonucleosides degradation|g__Carnobacterium.s__Carnobacterium_maltaromaticum	503.6286709843
PWY0-1296: purine ribonucleosides degradation|g__Vagococcus.s__Vagococcus_proximus	109.4439130572
PWY-1042: glycolysis IV	1891.4591845011
PWY-1042: glycolysis IV|g__Carnobacterium.s__Carnobacterium_maltaromaticum	731.7273333291
PWY-6609: adenine and adenosine salvage III	1130.2813149359
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_divergens	559.7750405714
PWY-6609: adenine and adenosine salvage III|g__Carnobacterium.s__Carnobacterium_maltaromaticum	103.8410027266
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	789.6114652898
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Carnobacterium.s__Carnobacterium_maltaromaticum	109.4061606959
PWY-7221: guanosine ribonucleotides de novo biosynthesis	694.5060106319
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_divergens	475.9752091804
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Carnobacterium.s__Carnobacterium_maltaromaticum	93.1554507524
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Leuconostoc.s__Leuconostoc_gelidum	46.6117051431
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	576.5915435576
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Carnobacterium.s__Carnobacterium_maltaromaticum	66.3229116580
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	567.7801011649
