# Gene Family	A23_Abundance-RPKs
UNMAPPED	3649069.0000000000
UniRef90_A0A2R8A0C5	323333.3333333333
UniRef90_A0A2R8A0C5|g__Carnobacterium.s__Carnobacterium_divergens	323333.3333333333
UniRef90_A0A0R2JAD9	100061.7164178858
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_divergens	83190.6467661434
UniRef90_A0A0R2JAD9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	16871.0696517424
UniRef90_P0A356	61978.0358672755
UniRef90_P0A356|g__Carnobacterium.s__Carnobacterium_maltaromaticum	61978.0358672755
UniRef90_A0A0R2HX25	60917.2811559494
UniRef90_A0A0R2HX25|g__Carnobacterium.s__Carnobacterium_divergens	60917.2811559494
UniRef90_A0A0R2HNF4	33330.8832518599
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_divergens	27674.6669191729
UniRef90_A0A0R2HNF4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5656.2163326870
UniRef90_F4BNZ2	31620.5128205120
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_divergens	23915.2930402924
UniRef90_F4BNZ2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	7705.2197802197
UniRef90_A0A0R2JH05	31402.2297556109
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_divergens	26385.4699790745
UniRef90_A0A0R2JH05|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5016.7597765364
UniRef90_A0A0U3MP38	26122.3309780980
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_divergens	20643.3748365127
UniRef90_A0A0U3MP38|g__Carnobacterium.s__Carnobacterium_maltaromaticum	5478.9561415853
UniRef90_A0A0R2HXQ4	23752.8224734052
UniRef90_A0A0R2HXQ4|g__Carnobacterium.s__Carnobacterium_divergens	23752.8224734052
UniRef90_A0A0R2HXI1	23302.9312015505
UniRef90_A0A0R2HXI1|g__Carnobacterium.s__Carnobacterium_divergens	23302.9312015505
UniRef90_A0A0U2VN98	23228.2743099374
UniRef90_A0A0U2VN98|g__Carnobacterium.s__Carnobacterium_divergens	23228.2743099374
UniRef90_A0A0R2I517	21846.2270976726
